sample_id,label,label_id,image_path,source_image,points
0,free_parking_space,0,images/free_parking_space/slot_00000.jpg,images/0.png,"54.80,9.10|137.90,7.60|141.12,204.87|55.80,205.70"
1,free_parking_space,0,images/free_parking_space/slot_00001.jpg,images/0.png,"0.00,415.40|52.00,415.00|53.91,607.66|0.00,608.18"
2,free_parking_space,0,images/free_parking_space/slot_00002.jpg,images/0.png,"-0.00,7.58|52.61,6.63|55.83,203.90|-0.00,204.44"
3,free_parking_space,0,images/free_parking_space/slot_00003.jpg,images/0.png,"1109.84,2.86|1196.26,2.62|1197.67,198.59|1110.31,198.59"
4,free_parking_space,0,images/free_parking_space/slot_00004.jpg,images/0.png,"1021.69,3.21|1108.11,2.98|1109.53,198.95|1022.17,198.95"
5,free_parking_space,0,images/free_parking_space/slot_00005.jpg,images/0.png,"842.54,4.65|928.95,4.41|930.37,200.38|843.01,200.38"
6,free_parking_space,0,images/free_parking_space/slot_00006.jpg,images/0.png,"486.89,416.75|573.31,416.51|574.72,612.48|487.36,612.48"
7,free_parking_space,0,images/free_parking_space/slot_00007.jpg,images/0.png,"140.40,414.20|223.73,414.80|225.15,610.77|141.30,609.30"
8,free_parking_space,0,images/free_parking_space/slot_00008.jpg,images/0.png,"53.11,413.57|139.52,413.33|140.94,609.31|53.58,609.31"
9,not_free_parking_space,1,images/not_free_parking_space/slot_00009.jpg,images/0.png,"1108.03,420.56|1193.97,419.61|1193.97,615.59|1108.97,616.77"
10,not_free_parking_space,1,images/not_free_parking_space/slot_00010.jpg,images/0.png,"1017.86,416.89|1103.80,415.94|1103.80,611.91|1018.80,613.09"
11,not_free_parking_space,1,images/not_free_parking_space/slot_00011.jpg,images/0.png,"929.73,418.11|1015.68,417.17|1015.68,613.14|930.68,614.32"
12,not_free_parking_space,1,images/not_free_parking_space/slot_00012.jpg,images/0.png,"839.56,417.30|925.51,416.35|925.51,612.32|840.51,613.50"
13,not_free_parking_space,1,images/not_free_parking_space/slot_00013.jpg,images/0.png,"751.03,416.89|836.97,415.94|836.97,611.91|751.97,613.09"
14,not_free_parking_space,1,images/not_free_parking_space/slot_00014.jpg,images/0.png,"662.49,417.30|748.44,416.35|748.44,612.32|663.44,613.50"
15,not_free_parking_space,1,images/not_free_parking_space/slot_00015.jpg,images/0.png,"574.37,416.89|660.31,415.94|660.31,611.91|575.31,613.09"
16,not_free_parking_space,1,images/not_free_parking_space/slot_00016.jpg,images/0.png,"400.56,414.44|486.50,413.50|486.50,609.47|401.50,610.65"
17,not_free_parking_space,1,images/not_free_parking_space/slot_00017.jpg,images/0.png,"312.84,414.44|398.78,413.50|398.78,609.47|313.79,610.65"
18,not_free_parking_space,1,images/not_free_parking_space/slot_00018.jpg,images/0.png,"225.53,414.85|311.47,413.90|311.47,609.87|226.47,611.05"
19,not_free_parking_space,1,images/not_free_parking_space/slot_00019.jpg,images/0.png,"932.51,3.60|1018.46,2.66|1018.46,198.63|933.46,199.81"
20,not_free_parking_space,1,images/not_free_parking_space/slot_00020.jpg,images/0.png,"754.79,6.05|840.73,5.11|840.73,201.08|755.73,202.26"
21,not_free_parking_space,1,images/not_free_parking_space/slot_00021.jpg,images/0.png,"666.17,5.07|752.11,4.13|752.11,200.10|667.11,201.28"
22,not_free_parking_space,1,images/not_free_parking_space/slot_00022.jpg,images/0.png,"577.06,5.56|663.01,4.62|663.01,200.59|578.01,201.77"
23,not_free_parking_space,1,images/not_free_parking_space/slot_00023.jpg,images/0.png,"487.96,8.01|573.90,7.06|573.90,203.03|488.90,204.22"
24,not_free_parking_space,1,images/not_free_parking_space/slot_00024.jpg,images/0.png,"399.83,7.52|485.77,6.57|485.77,202.55|400.77,203.73"
25,not_free_parking_space,1,images/not_free_parking_space/slot_00025.jpg,images/0.png,"139.49,8.65|225.44,7.71|225.44,203.68|140.44,204.86"
26,not_free_parking_space,1,images/not_free_parking_space/slot_00026.jpg,images/0.png,"226.32,8.39|312.26,7.44|312.26,203.41|227.26,204.59"
27,free_parking_space,0,images/free_parking_space/slot_00027.jpg,images/0.png,"312.02,7.44|398.44,7.21|399.86,203.18|312.50,203.18"
28,not_free_parking_space,1,images/not_free_parking_space/slot_00028.jpg,images/1.png,"479.91,83.33|528.86,67.78|558.61,158.13|509.13,173.05"
29,not_free_parking_space,1,images/not_free_parking_space/slot_00029.jpg,images/1.png,"21.65,216.00|72.22,202.03|100.15,293.92|48.70,307.89"
30,not_free_parking_space,1,images/not_free_parking_space/slot_00030.jpg,images/1.png,"0.00,222.39|20.63,216.69|48.56,308.58|0.00,321.76"
31,not_free_parking_space,1,images/not_free_parking_space/slot_00031.jpg,images/1.png,"73.66,201.47|124.23,187.50|152.16,279.38|100.71,293.35"
